ID,site,Altitude,lon,lat,pH,Mg_avail,Mg_total,Mg,Na_avail,Na_total,Na,K_avail,K_total,K,Ca_avail,Ca_total,Ca,P_avail,P_total,S_avail,S_total,S.delivery,C.S_ratio,C.OS.ratio,C,C_inorganic,N,C.N_ratio,N.delivery,Microbial_activity,organic,Carbonated_lime,Clay,Silt,Sand,Clay_humus,Striga_Count_Ave,Striga_Count_SE,Sorghum_Count_Ave,Sorghum_Count_SE,Striga_count.Sorghum_count,Normalized_Striga_Count_Ave,Normalized_Striga_Count_SE,Seedbank_Ave,Seedbank_SE,Suicidal_Germ_Ave,Suicidal_Germ_SE,Observed,Chao1,se.chao1,ACE,se.ACE,Shannon,Simpson,InvSimpson,Fisher,Abditibacteriota,Acidobacteriota,Actinobacteriota,Armatimonadota,Bacteroidota,Bdellovibrionota,Chloroflexi,Cyanobacteria,Deinococcota,Entotheonellaeota,Fibrobacterota,Firmicutes,Gemmatimonadota,Myxococcota,Nitrospirota,Patescibacteria,Planctomycetota,Proteobacteria,Spirochaetota,Sumerlaeota,Verrucomicrobiota
E33,Raya-Azebo,1441,39.64797222,12.10008333,7.3,529,27.7,8.8,11,0.7,0.2,156,17.2,5.5,1.2,354,85,2.6,830,9.3,240,1,141,0.74,3.4,0,2170,16,85,80,4.6,0,45,44,6,315,0,0,8,1.224744871,0,0,0,0,0,0,0,494,542.9047619,14.45394987,533.0068847,9.887731876,5.675783062,0.994771718,191.2674162,149.4295074,NA,0.293403821,0.043974528,NA,0.079538628,0.000360447,0.075934158,NA,NA,NA,NA,NA,0.068845368,NA,0.071488646,0.00240298,0.119428091,0.236453202,NA,NA,0.008170131
E34,Haftay-Humera,621,36.57311111,14.08163333,7.1,735,56.8,13,64,2.2,0.5,33,6.6,1.5,0.1,367,82,0,30,2.5,190,11,57,0.46,1.1,0.33,470,23,10,60,2.4,2.1,49,8,39,445,0,0,9,1,0,0,0,1.004039862,1,0.18115942,0.175,491,511.3424658,7.522519135,514.1777834,9.730529293,5.729269167,0.995294248,212.5058733,148.1510377,0.002162496,0.155905674,0.073215941,0.002986304,0.143136649,NA,0.101946247,NA,NA,NA,NA,NA,0.158891978,NA,0.040572547,0.00308928,0.058078468,0.253835856,NA,0.00102976,0.0051488
E35,Haftay-Humera,625,36.56986111,14.03652778,6.9,930,117.4,23,46,1.8,0.4,40,11.7,2.3,0.9,400,74,0,30,3.5,0,5,90,0.39,1.4,0.12,560,24,10,42,3.6,0.5,50,16,30,511,56,4.123105626,16.5,0.957427108,3.393939394,29.6,2.9,11.77310602,1.160938318,0,0,464,494.1132075,10.56760721,491.0247884,10.2523424,5.745904405,0.995835592,240.1301801,136.839798,0.002420775,0.14040493,0.084837148,0.003631162,0.147777289,NA,0.139414613,0.002310739,NA,NA,NA,NA,0.132262324,NA,0.04412412,0.002420775,0.032900528,0.267495599,NA,NA,NA
E36,Raya-Alamaxa,1495,39.585,12.42944444,7.1,626,156.8,67,20,0,0,102,2.3,1,1,330,32,1.4,420,5.9,0,6,83,0.3,1.2,0.04,1250,10,75,91,4,0,29,42,25,235,28,6.363961031,7.25,0.478713554,3.862068966,33.9,7.7,23.64878968,5.589374841,0,0,491,517.8333333,8.745669749,528.9146801,10.21545983,5.660451217,0.994827124,193.3160588,148.1510377,0.000833929,0.306647605,0.049916607,0.003097451,0.088396474,NA,0.075530141,NA,NA,NA,NA,NA,0.078865857,NA,0.05968549,NA,0.107695973,0.229330474,NA,NA,NA
E37,Kewet,1263,39.96441667,9.939805556,7.5,193,3.5,1,17,0,0,104,4.4,1.2,0.1,412,98,0.2,110,5,175,10,56,0.25,1,0.39,860,11,50,2,4,2.6,39,23,31,368,21.75,3.682729966,7.75,1.493039406,2.806451613,28.5,9.3,2.04914765,1.020348524,36.74844553,20.72110438,280,287.2413793,4.413578428,286.82608,7.923603946,5.014724516,0.990167306,101.7015229,68.9838283,0.000722804,0.186844958,0.079327792,0.001987712,0.059269967,NA,0.078424286,NA,NA,NA,NA,NA,0.101011926,NA,0.050596314,NA,0.131008312,0.310805927,NA,NA,NA
E38,Jile-Timuga,1421,39.96758333,10.24411111,7.4,265,17.4,3.8,17,1.3,0.3,60,5.5,1.2,4.3,412,90,0.3,120,7,405,27,39,0.42,1.6,0,1360,12,70,94,3.8,0,41,55,0,458,17.5,5.979130372,12.75,2.286737122,1.37254902,14.5,6.8,0,0,0,0,315,337.1621622,9.175930951,336.5570829,8.79415756,5.16012497,0.991849859,122.6972664,80.65477069,NA,0.25694076,0.098320071,NA,0.0755084,NA,0.074801061,NA,NA,NA,NA,NA,0.077276746,0.000353669,0.03642794,NA,0.120954907,0.259416446,NA,NA,NA
E39,Haftay-Humera,628,36.68125,14.23738889,7.4,680,91.5,17,231,1.7,0.3,26,11,2.1,0.1,483,81,0,40,2.2,0,9,47,0.23,0.7,0.25,460,15,20,130,3,1.5,56,15,25,535,64.25,7.25,9.25,0.75,6.945945946,60.2,5.1,6.272036907,4.84469928,64.88582715,18.06437562,160,160.1666667,0.543404668,160.3955418,6.232282094,4.590328952,0.986219461,72.56610454,33.53360203,0.000509424,0.180590932,0.012480897,NA,0.151808456,NA,0.07259297,NA,0.001273561,NA,NA,NA,0.126337239,NA,0.072847682,NA,0.085328579,0.29623026,NA,NA,NA
E40,Artma-Fursi,1453,39.94658333,10.51480556,6.1,387,25.5,8.3,16,1,0.3,273,6,1.9,1.4,201,65,5.1,1050,6.9,395,22,58,0.64,2.3,0.07,2240,10,140,92,3.6,0,46,15,35,308,4.75,0.75,7.25,1.108677891,0.655172414,6.3,1.5,0,0,0,0,388,419.4285714,11.09119039,417.5826591,9.603101515,5.404342122,0.993284707,148.9138407,106.8683429,0.00183896,0.29305136,0.133455931,NA,0.079469329,NA,0.042033364,NA,NA,NA,NA,NA,0.134638119,NA,0.026008144,NA,0.139629581,0.143964272,NA,NA,0.005910942
E41,Wuchale,1565,39.11680556,11.44841667,5.9,465,15.8,6.6,12,0,0,120,1.7,0.7,0.6,215,90,3.4,1320,4.7,0,1,183,0.46,2.8,0.07,1710,16,65,70,6.1,0,33,54,7,239,13,1.632993162,7,0.816496581,1.857142857,17.4,4.3,3.786383149,0.611918658,22.38855256,21.24935293,233,237.4,3.557517485,237.1106589,7.613202577,5.028326322,0.991357173,115.7028885,54.24072083,0.000992228,0.260955846,0.152803043,0.000330743,0.050603605,NA,0.062344964,NA,NA,NA,NA,NA,0.122870845,NA,0.037373904,NA,0.107325947,0.204398875,NA,NA,NA
E42,Haftay humera,784,36.90194444,13.82416667,6.9,874,42.7,9.2,21,1.5,0.3,46,6.8,1.5,3.1,374,80,0,50,3.1,280,14,65,0.4,1.8,0.11,900,20,25,87,4.5,0.4,49,46,0,465,NA,NA,NA,,NA,0,0,2.352588704,1.328323923,0,0,314,334.1818182,8.798351005,329.9827242,8.466407943,5.113219981,0.990927809,110.2269548,80.31322317,0.001511716,0.180839002,0.0861678,0.002456538,0.115646259,NA,0.103552532,NA,NA,NA,NA,NA,0.066326531,NA,0.052154195,0.000377929,0.085978836,0.304232804,NA,NA,0.000755858
E43,Wuchale,1571,39.61644444,11.44297222,6.8,457,95.3,59,19,0,0,105,10.3,6.4,0.1,182,34,3.1,1150,5.8,60,1,375,0.56,2.3,0.28,900,25,15,58,4.1,1.7,30,40,24,161,6,0.912870929,5.25,0.478713554,1.142857143,10.1,1.7,0,0,0,0,383,405,8.74755304,402.2147025,9.124147105,5.36833743,0.992731296,137.5761005,104.9925254,0.000439367,0.210310486,0.179261863,0.010544815,0.078207381,0.000292912,0.11599297,NA,NA,NA,NA,0.004979496,0.06649092,NA,0.049941418,0.000585823,0.093731693,0.188927944,NA,NA,0.000292912
E44,Haftay humera,783,36.9025,13.82444444,6.8,666,48.6,12,19,0.6,0.2,51,6.2,1.6,1,261,67,0,70,4.4,0,6,89,0.45,1.3,0.03,820,16,35,91,2.9,0,46,22,29,392,NA,NA,NA,,NA,1,0,8.167595785,8.166666667,0,0,295,303.75,5.208327924,302.6112806,8.49966714,5.226098237,0.992533157,133.9254149,73.91397569,NA,0.19020979,0.241818182,0.003496503,0.097762238,0.000559441,0.091328671,NA,NA,NA,NA,NA,0.043356643,0.00041958,0.025874126,NA,0.043776224,0.254405594,NA,NA,0.006993007
E45,Haftay humera,704,36.55222222,13.92277778,7.7,682,39.9,7.9,97,1.4,0.3,41,6.7,1.3,4.8,447,88,0,0,3.3,240,9,82,0.39,2,0.14,700,28,5,85,5.1,0.6,53,37,4,506,NA,NA,NA,,NA,1,0,0,0,0,0,422,453.5517241,10.71397268,455.1484156,9.943951757,5.542468987,0.99445602,180.3758367,119.9375613,0.001830035,0.089671737,0.107285829,0.001029395,0.135880133,0.001601281,0.113576576,0.001715658,NA,NA,NA,NA,0.067139426,NA,0.040375157,0.014182775,0.097220634,0.317053643,NA,NA,0.011437722
E46,Raya-Azebo,1425,39.65744444,12.09061111,7.5,558,21.8,5.3,36,1.5,0.4,75,3,0.7,0.6,361,88,0.6,270,5.2,0,1,150,0.37,2.3,0,1340,17,50,110,6.2,0,39,55,0,408,2.25,0.62915287,8.75,0.62915287,0.257142857,2.3,0.8,1.540966217,1.533333333,70.05854008,8.200342981,384,403.212766,7.877676066,402.7105956,9.325479735,5.464867544,0.994114501,169.909123,105.3667437,NA,0.269984917,0.179212944,0.002056767,0.072946661,NA,0.061154532,0.000685589,NA,NA,NA,NA,0.09282874,NA,0.024818319,0.000685589,0.076511724,0.213766626,NA,NA,0.005347594
E47,Jile-Timuga,1406,39.89133333,10.24816667,7.5,314,16.9,4.8,30,0.8,0.2,102,2.1,0.6,2,418,94,0.5,270,5.7,570,42,32,0.78,1.8,0,840,22,20,64,2.3,0,48,50,0,349,0,0,8.5,1.040833,0,0,0,0.726289497,0.733333333,0,0,321,344.15625,9.789634602,338.2267426,8.550355416,5.159491751,0.991565822,118.5652,82.71415503,0.000510291,0.20615751,0.159891138,0.007314169,0.085388672,NA,0.071100527,0.003231842,NA,NA,NA,0.002551454,0.071440721,NA,0.037081136,NA,0.082156829,0.271985031,NA,0.000680388,0.000510291
E48,Haftay humera,608,36.62694444,14.26083333,7.5,674,69.8,15,308,1.5,0.3,20,6.3,1.4,0.5,367,79,0,80,2,0,7,75,0.41,1.1,0.18,500,22,15,111,2.7,0.9,56,20,20,466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,470,504.0140845,10.8236491,507.6315756,10.3304955,5.693305378,0.995305147,212.9992261,139.3231479,0.000720535,0.24107051,0.141327844,0.004529079,0.146268657,NA,0.123417396,NA,NA,NA,NA,0.002367473,0.070921256,NA,0.042717447,NA,0.057745754,0.165414308,NA,NA,0.003499743
