"","x","y","KG3_CRUTS32_Hist_8110raster"
"239",37.875,14.7916666666667,"7"
"240",37.9583333333333,14.7916666666667,"7"
"419",37.875,14.7083333333333,"7"
"420",37.9583333333333,14.7083333333333,"7"
"421",38.0416666666667,14.7083333333333,"7"
"598",37.7916666666667,14.625,"4"
"599",37.875,14.625,"4"
"600",37.9583333333333,14.625,"4"
"601",38.0416666666667,14.625,"4"
"602",38.125,14.625,"4"
"603",38.2083333333333,14.625,"4"
"613",39.0416666666667,14.625,"7"
"614",39.125,14.625,"7"
"778",37.7916666666667,14.5416666666667,"4"
"779",37.875,14.5416666666667,"4"
"780",37.9583333333333,14.5416666666667,"4"
"781",38.0416666666667,14.5416666666667,"4"
"782",38.125,14.5416666666667,"4"
"783",38.2083333333333,14.5416666666667,"4"
"784",38.2916666666667,14.5416666666667,"4"
"792",38.9583333333333,14.5416666666667,"7"
"793",39.0416666666667,14.5416666666667,"7"
"794",39.125,14.5416666666667,"7"
"795",39.2083333333333,14.5416666666667,"7"
"799",39.5416666666667,14.5416666666667,"8"
"800",39.625,14.5416666666667,"7"
"801",39.7083333333333,14.5416666666667,"7"
"806",40.125,14.5416666666667,"7"
"957",37.7083333333333,14.4583333333333,"4"
"958",37.7916666666667,14.4583333333333,"4"
"959",37.875,14.4583333333333,"4"
"960",37.9583333333333,14.4583333333333,"4"
"961",38.0416666666667,14.4583333333333,"4"
"962",38.125,14.4583333333333,"4"
"963",38.2083333333333,14.4583333333333,"4"
"964",38.2916666666667,14.4583333333333,"4"
"965",38.375,14.4583333333333,"4"
"969",38.7083333333333,14.4583333333333,"7"
"970",38.7916666666667,14.4583333333333,"7"
"971",38.875,14.4583333333333,"7"
"972",38.9583333333333,14.4583333333333,"7"
"973",39.0416666666667,14.4583333333333,"7"
"974",39.125,14.4583333333333,"7"
"975",39.2083333333333,14.4583333333333,"7"
"976",39.2916666666667,14.4583333333333,"7"
"977",39.375,14.4583333333333,"8"
"978",39.4583333333333,14.4583333333333,"8"
"979",39.5416666666667,14.4583333333333,"8"
"980",39.625,14.4583333333333,"7"
"981",39.7083333333333,14.4583333333333,"7"
"982",39.7916666666667,14.4583333333333,"7"
"983",39.875,14.4583333333333,"7"
"985",40.0416666666667,14.4583333333333,"7"
"986",40.125,14.4583333333333,"7"
"1130",37.125,14.375,"7"
"1131",37.2083333333333,14.375,"7"
"1132",37.2916666666667,14.375,"7"
"1133",37.375,14.375,"7"
"1137",37.7083333333333,14.375,"4"
"1138",37.7916666666667,14.375,"4"
"1139",37.875,14.375,"4"
"1140",37.9583333333333,14.375,"4"
"1141",38.0416666666667,14.375,"4"
"1142",38.125,14.375,"4"
"1143",38.2083333333333,14.375,"4"
"1144",38.2916666666667,14.375,"4"
"1145",38.375,14.375,"4"
"1146",38.4583333333333,14.375,"4"
"1147",38.5416666666667,14.375,"4"
"1148",38.625,14.375,"4"
"1149",38.7083333333333,14.375,"4"
"1150",38.7916666666667,14.375,"4"
"1151",38.875,14.375,"12"
"1152",38.9583333333333,14.375,"12"
"1153",39.0416666666667,14.375,"7"
"1154",39.125,14.375,"7"
"1155",39.2083333333333,14.375,"7"
"1156",39.2916666666667,14.375,"7"
"1157",39.375,14.375,"8"
"1158",39.4583333333333,14.375,"8"
"1159",39.5416666666667,14.375,"8"
"1160",39.625,14.375,"7"
"1161",39.7083333333333,14.375,"7"
"1162",39.7916666666667,14.375,"7"
"1163",39.875,14.375,"7"
"1164",39.9583333333333,14.375,"7"
"1165",40.0416666666667,14.375,"7"
"1166",40.125,14.375,"7"
"1167",40.2083333333333,14.375,"7"
"1168",40.2916666666667,14.375,"7"
"1304",36.625,14.2916666666667,"7"
"1305",36.7083333333333,14.2916666666667,"7"
"1306",36.7916666666667,14.2916666666667,"7"
"1307",36.875,14.2916666666667,"7"
"1308",36.9583333333333,14.2916666666667,"7"
"1310",37.125,14.2916666666667,"7"
"1311",37.2083333333333,14.2916666666667,"7"
"1312",37.2916666666667,14.2916666666667,"4"
"1313",37.375,14.2916666666667,"4"
"1316",37.625,14.2916666666667,"4"
"1317",37.7083333333333,14.2916666666667,"4"
"1318",37.7916666666667,14.2916666666667,"4"
"1319",37.875,14.2916666666667,"4"
"1320",37.9583333333333,14.2916666666667,"4"
"1321",38.0416666666667,14.2916666666667,"4"
"1322",38.125,14.2916666666667,"4"
"1323",38.2083333333333,14.2916666666667,"4"
"1324",38.2916666666667,14.2916666666667,"4"
"1325",38.375,14.2916666666667,"4"
"1326",38.4583333333333,14.2916666666667,"4"
"1327",38.5416666666667,14.2916666666667,"4"
"1328",38.625,14.2916666666667,"4"
"1329",38.7083333333333,14.2916666666667,"4"
"1330",38.7916666666667,14.2916666666667,"4"
"1331",38.875,14.2916666666667,"12"
"1332",38.9583333333333,14.2916666666667,"13"
"1333",39.0416666666667,14.2916666666667,"13"
"1334",39.125,14.2916666666667,"13"
"1335",39.2083333333333,14.2916666666667,"13"
"1336",39.2916666666667,14.2916666666667,"8"
"1337",39.375,14.2916666666667,"13"
"1338",39.4583333333333,14.2916666666667,"8"
"1339",39.5416666666667,14.2916666666667,"8"
"1340",39.625,14.2916666666667,"8"
"1341",39.7083333333333,14.2916666666667,"7"
"1342",39.7916666666667,14.2916666666667,"7"
"1343",39.875,14.2916666666667,"7"
"1344",39.9583333333333,14.2916666666667,"7"
"1345",40.0416666666667,14.2916666666667,"7"
"1346",40.125,14.2916666666667,"7"
"1347",40.2083333333333,14.2916666666667,"7"
"1348",40.2916666666667,14.2916666666667,"7"
"1349",40.375,14.2916666666667,"7"
"1350",40.4583333333333,14.2916666666667,"7"
"1484",36.625,14.2083333333333,"7"
"1485",36.7083333333333,14.2083333333333,"7"
"1486",36.7916666666667,14.2083333333333,"7"
"1487",36.875,14.2083333333333,"7"
"1488",36.9583333333333,14.2083333333333,"7"
"1489",37.0416666666667,14.2083333333333,"7"
"1490",37.125,14.2083333333333,"7"
"1491",37.2083333333333,14.2083333333333,"4"
"1492",37.2916666666667,14.2083333333333,"4"
"1493",37.375,14.2083333333333,"4"
"1494",37.4583333333333,14.2083333333333,"4"
"1495",37.5416666666667,14.2083333333333,"4"
"1496",37.625,14.2083333333333,"4"
"1497",37.7083333333333,14.2083333333333,"4"
"1498",37.7916666666667,14.2083333333333,"4"
"1499",37.875,14.2083333333333,"4"
